,Unnamed: 0,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
4,4,304.0,640,535.0,0.95,0.0,1.0,1.0,1.0,0.9079880511189764,0.4947423381056652,0.7517540461730405,0.5738607433058981,0.4998122660542075
5,5,304.0,650,535.0,0.95,0.0,1.0,1.0,1.0,0.9317376273727422,0.5020813819461484,0.7556026315638313,0.6392400639986136,0.51186780207982
6,6,304.0,660,535.0,0.95,0.0,1.0,1.0,1.0,0.94403084884646,0.4984463311551351,0.75446992026774,0.5604421457825943,0.4901397183266354
7,7,304.0,670,535.0,0.95,0.0,1.0,1.0,1.0,0.9395207225935824,0.5049627967077527,0.7209549898138605,0.5744706501074479,0.508324865706841
8,8,304.0,680,535.0,0.95,0.0,1.0,1.0,1.0,0.9591482451753734,0.5033936306520559,0.7510571119317047,0.6138656897457531,0.5149361808826424
9,9,304.0,690,535.0,0.95,0.0,1.0,1.0,1.0,0.9575711264486952,0.5002922176945575,0.7222266789598685,0.5866190929912214,0.4976972869479346
10,10,304.0,700,535.0,0.95,0.0,1.0,1.0,1.0,0.9481751816074212,0.4907240639279797,0.7210132920079206,0.557742911211353,0.5093799391215469
0,0,298.0,600,592.5,0.95,0.0,1.0,1.0,1.0,0.771691325095303,0.4897866507581369,0.562467206525865,0.553088699120212,0.5017495151103974
1,1,298.0,610,592.5,0.95,0.0,1.0,1.0,1.0,0.9154007740034136,0.5016984860975016,0.7105070274590128,0.5470208898778044,0.5031665641443968
2,2,298.0,620,592.5,0.95,0.0,1.0,1.0,1.0,0.932205595027766,0.4889768584967241,0.7603102215028013,0.5355648830656248,0.4940302175790654
3,3,298.0,630,592.5,0.95,0.0,1.0,1.0,1.0,0.9071279117853296,0.502938812154923,0.7392230458119002,0.5523216836072932,0.5017701547644792
4,4,298.0,640,592.5,0.95,0.0,1.0,1.0,1.0,0.95739524082801,0.4904196266068871,0.7696701688532206,0.5601126050547076,0.5060890905700643
5,5,298.0,650,592.5,0.95,0.0,1.0,1.0,1.0,0.933338132693894,0.4937628910854995,0.7349847052985332,0.523212830740811,0.5108291309278311
6,6,298.0,660,592.5,0.95,0.0,1.0,1.0,1.0,0.937904361169493,0.4993915309765683,0.7479730949895671,0.5900354219442738,0.5166817921585942
7,7,298.0,670,592.5,0.95,0.0,1.0,1.0,1.0,0.9726237448538072,0.5086050331779726,0.7432553021418495,0.5500301791032152,0.4940074045649993
8,8,298.0,680,592.5,0.95,0.0,1.0,1.0,1.0,0.9482688656507712,0.5025938973744936,0.7896098487235287,0.5667889155566498,0.5121458957379779
9,9,298.0,690,592.5,0.95,0.0,1.0,1.0,1.0,0.9775490203777144,0.4955583008282255,0.7453303542655867,0.5592584640166919,0.5181242205468597
10,10,298.0,700,592.5,0.95,0.0,1.0,1.0,1.0,0.9472453657091556,0.5007202379109479,0.7582815659925405,0.5429606407357126,0.5081986528496428
0,0,298.0,600,487.5,0.95,0.0,1.0,1.0,1.0,0.8180442027901424,0.4975177742038729,0.569698577582331,0.5748077864719805,0.5222286847327581
1,1,298.0,610,487.5,0.95,0.0,1.0,1.0,1.0,0.9174473788874048,0.4936814567214173,0.6762888934953101,0.6079832876507376,0.5118639467547761
2,2,298.0,620,487.5,0.95,0.0,1.0,1.0,1.0,0.9560125767802322,0.4954380684820512,0.7524956313170362,0.6192362586682968,0.511877966271679
3,3,298.0,630,487.5,0.95,0.0,1.0,1.0,1.0,0.9244978338662908,0.5173861381893001,0.7954775071673159,0.5567009922989652,0.513415096891628
4,4,298.0,640,487.5,0.95,0.0,1.0,1.0,1.0,0.935516300897989,0.4929458639777921,0.7450442010932682,0.5983794791645312,0.5130369011352943
5,5,298.0,650,487.5,0.95,0.0,1.0,1.0,1.0,0.9595275877046954,0.5188041041106746,0.7443342519721524,0.576725473858844,0.50075351111787
6,6,298.0,660,487.5,0.95,0.0,1.0,1.0,1.0,0.95923612320374,0.5144838991744963,0.8146736378714282,0.5617514745612855,0.515218635323819
7,7,298.0,670,487.5,0.95,0.0,1.0,1.0,1.0,0.9428708795631456,0.4970780975332131,0.7771371231383855,0.5736626228372406,0.4823270175209597
8,8,298.0,680,487.5,0.95,0.0,1.0,1.0,1.0,0.9379962939173574,0.4934030291928098,0.777881393973445,0.5767589222329536,0.4862111717738255
9,9,298.0,690,487.5,0.95,0.0,1.0,1.0,1.0,0.9613154311772902,0.4992187088521181,0.7668879300203619,0.5671430921665624,0.5031240045925369
10,10,298.0,700,487.5,0.95,0.0,1.0,1.0,1.0,0.9116099539942866,0.4994391978540032,0.7500218119688682,0.5706655317392594,0.4976885759350025
0,0,302.0,600,492.5,0.95,0.0,1.0,1.0,1.0,0.806670222078596,0.4906217572241136,0.6124617796700415,0.5702585053988891,0.5093856731864166
1,1,302.0,610,492.5,0.95,0.0,1.0,1.0,1.0,0.8691176599352335,0.4946149473730075,0.7075843675567588,0.5420168129618783,0.5194575201282378
2,2,302.0,620,492.5,0.95,0.0,1.0,1.0,1.0,0.9077608630842422,0.4987562843111165,0.7567859541493661,0.6267621967367697,0.4969918239936561
3,3,302.0,630,492.5,0.95,0.0,1.0,1.0,1.0,0.9388318965584124,0.5095954608720221,0.6843330268359036,0.6149303379661889,0.5007062363055642
4,4,302.0,640,492.5,0.95,0.0,1.0,1.0,1.0,0.8989932229454854,0.517827122571876,0.7348275882067186,0.5530016727891193,0.4968537255254961
5,5,302.0,650,492.5,0.95,0.0,1.0,1.0,1.0,0.9331787811326718,0.4912952756844972,0.7635818203881141,0.5619999851575396,0.5032176171461102
6,6,302.0,660,492.5,0.95,0.0,1.0,1.0,1.0,0.9384774386513768,0.4935215017429068,0.7672616320145501,0.5912342810161569,0.5048162359009936
7,7,302.0,670,492.5,0.95,0.0,1.0,1.0,1.0,0.9485632732095792,0.4980520524194896,0.7288982076116195,0.5884026086162677,0.5105798988640458
8,8,302.0,680,492.5,0.95,0.0,1.0,1.0,1.0,0.9042783663212768,0.4855118131134585,0.7638554375418453,0.590137647643567,0.49895302983695
9,9,302.0,690,492.5,0.95,0.0,1.0,1.0,1.0,0.9432852849346532,0.5105537337108881,0.7558565988652415,0.5882872583932899,0.5031088450441648
10,10,302.0,700,492.5,0.95,0.0,1.0,1.0,1.0,0.9535931713025136,0.5002186860841341,0.7492909025659491,0.5864195460910114,0.5105601549391443
0,0,306.0,600,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9344818771871852,0.4907070260554714,0.7469418283334981,0.6113242688917123,0.515076102159855
1,1,306.0,610,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.8920558954549038,0.4954916372402455,0.7971998469186911,0.5778876338806742,0.508551946738485
2,2,306.0,620,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9546321352242804,0.4881137026744414,0.7799412908259332,0.6073556951778096,0.5029949460391683
3,3,306.0,630,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9207154671041088,0.4993545554452335,0.7468248929382957,0.5419355299575426,0.5001346253116754
4,4,306.0,640,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9378099559931944,0.5022339930771743,0.7339807407028982,0.5759557394909758,0.5018628715349247
5,5,306.0,650,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9285998507694316,0.5034341982467059,0.6960638842946276,0.535444514536577,0.5012148960931184
6,6,306.0,660,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9625555835466354,0.4884905998294107,0.7308644756942559,0.5647361976539269,0.4950072503322024
7,7,306.0,670,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.961120536275166,0.5002230431076452,0.7671646397551706,0.5926454694899177,0.5100527593641278
8,8,306.0,680,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.944509468693622,0.5061559359158379,0.7845332670027217,0.5864270548209122,0.4932421086766995
9,9,306.0,690,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9523676066875566,0.5142960203267212,0.8099204861677304,0.5583389158676415,0.4873471909702939
10,10,306.0,700,517.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9475555093001764,0.4993616696735835,0.7303577591040668,0.5311083748657002,0.5065148017744658
0,0,304.0,600,507.5,0.95,0.0,1.0,1.0,1.0,0.8079147578310483,0.50789008919499,0.5903193111277474,0.5983415824720841,0.5375079694902618
1,1,304.0,610,507.5,0.95,0.0,1.0,1.0,1.0,0.8191736983159068,0.4864445265851643,0.6180406339738066,0.5676225777159896,0.5050729967909252
2,2,304.0,620,507.5,0.95,0.0,1.0,1.0,1.0,0.921254716102152,0.5094378897288797,0.7432989389925009,0.5543588122016856,0.5124360773580178
3,3,304.0,630,507.5,0.95,0.0,1.0,1.0,1.0,0.9082547483941052,0.5018740969044437,0.7519095026797975,0.5828488809333164,0.5120873221721185
4,4,304.0,640,507.5,0.95,0.0,1.0,1.0,1.0,0.9101261806351776,0.5169247029767741,0.7936934886404957,0.5573856875125743,0.5080547735967713
5,5,304.0,650,507.5,0.95,0.0,1.0,1.0,1.0,0.9000493023495746,0.4936005515501017,0.6991970796800832,0.5743907564140572,0.5322500971447671
6,6,304.0,660,507.5,0.95,0.0,1.0,1.0,1.0,0.9266476524474712,0.504439508508248,0.7438982243970654,0.5664213624201422,0.5048553260916628
7,7,304.0,670,507.5,0.95,0.0,1.0,1.0,1.0,0.9499623125426676,0.4894192920014565,0.7869789814144619,0.5846262759010649,0.50409836063235
8,8,304.0,680,507.5,0.95,0.0,1.0,1.0,1.0,0.9304532324135962,0.4879356883359202,0.7667938227483242,0.5750828911950224,0.5092397281015268
9,9,304.0,690,507.5,0.95,0.0,1.0,1.0,1.0,0.965353303886752,0.4838977577429809,0.7471364685778165,0.5756151457517473,0.495964711085775
10,10,304.0,700,507.5,0.95,0.0,1.0,1.0,1.0,0.9714785629813044,0.4873369373295643,0.7527387141215998,0.5719508882809015,0.5063055938853731
0,0,292.0,600,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9159332832050484,0.4979021088248167,0.7316931778015688,0.5458881091724604,0.495588789499419
1,1,292.0,610,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9397205765143072,0.5062357972171231,0.7054878198240994,0.5563591647538388,0.5147036328208738
2,2,292.0,620,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.904599067353997,0.5006290542586329,0.6896734136133715,0.547693145059517,0.5076914192732277
3,3,292.0,630,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9607317547799636,0.509120855906172,0.7567765018184959,0.5780796633642412,0.5012385052624554
4,4,292.0,640,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.905490211178912,0.4900611125068318,0.7361439034657826,0.5600791437718641,0.5034598494295442
5,5,292.0,650,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9273345674335924,0.5120530557836085,0.7788931064209825,0.5415396550916999,0.5035603037520444
6,6,292.0,660,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.912261923940234,0.5090171131237602,0.6859623173066284,0.5560077454542661,0.4914939062973994
7,7,292.0,670,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9504828944169312,0.4997594651455788,0.7838696929598074,0.612972371685822,0.5023582444187019
8,8,292.0,680,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9427014923886678,0.5105550464902381,0.7080564364277269,0.5501533415906567,0.5011702293616509
9,9,292.0,690,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9515262107432566,0.4978422256489914,0.7700311946769951,0.5396530087319176,0.4993724207489718
10,10,292.0,700,562.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.994504718252027,0.5004676825082492,0.8126242027108118,0.5510307833767103,0.509650294448244
0,0,300.0,600,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9490979495511812,0.5031203427973254,0.7589187583614196,0.6141972920485955,0.5055210749897935
1,1,300.0,610,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.895099786559601,0.4951008101408288,0.7938407212474028,0.5668406855701358,0.4920967853556895
2,2,300.0,620,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9505875217120004,0.496629046962847,0.756140594279303,0.5253770337727515,0.5006079102205324
3,3,300.0,630,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.925611411573212,0.506542914340324,0.7198829669977835,0.5533198618015205,0.5047450906912418
4,4,300.0,640,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9668569572411438,0.5056638818278884,0.7600619320042038,0.5991787570216937,0.5014398513359565
5,5,300.0,650,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9311565729945628,0.5075099724065055,0.7265536254259353,0.5759772436236859,0.4939280124862645
6,6,300.0,660,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9513515818134448,0.5087211177948373,0.7828963849106536,0.58028237508578,0.4937664699378443
7,7,300.0,670,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9544913455289872,0.5106404027607316,0.7334300070939005,0.583286127393289,0.5024452576184071
8,8,300.0,680,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.940551239772236,0.4907610021840582,0.7470985913313962,0.5741694251147884,0.5038670666908025
9,9,300.0,690,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9352625600498656,0.5078146465969005,0.7594549857837636,0.5572016246571257,0.5036721748207288
10,10,300.0,700,532.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.959317900021962,0.5064146622383554,0.7767011741697596,0.5336380461756594,0.4924134086894008
0,0,294.0,600,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.921865148377961,0.4951870837453584,0.6897270711617502,0.5894922477726041,0.5126986282107022
1,1,294.0,610,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9061400286757036,0.4817104281864931,0.7373627102657193,0.5373823797986239,0.491019173848766
2,2,294.0,620,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9095468697131526,0.5120753127907035,0.702384814837451,0.5610878580304967,0.510285666573259
3,3,294.0,630,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9069492609186977,0.5050539674710119,0.7109741188975562,0.6004406458981569,0.4855507892801363
4,4,294.0,640,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.938774490806815,0.498834563837887,0.7113382610877567,0.5809130290754501,0.4973045097034299
5,5,294.0,650,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9698934434823216,0.507052591484905,0.6832253255150949,0.5378086784094798,0.4888091475519266
6,6,294.0,660,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9235790668032672,0.4846983001600914,0.7651210423075503,0.5371524191482322,0.5010933861858613
7,7,294.0,670,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9669661876242392,0.5099045921200862,0.7514890818662525,0.5524556934295729,0.490372127935001
8,8,294.0,680,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9383715283580448,0.4977392780231354,0.8090724957769598,0.5327194810081128,0.5103504544779056
9,9,294.0,690,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9422198357266992,0.5030083580470025,0.8246086304331497,0.5221152944640114,0.4999684326136601
10,10,294.0,700,522.5,1.0499999999999998,0.0,1.0,1.0,1.0,0.9665526517455236,0.5041216775524432,0.8157862666667821,0.5497799072357294,0.50213320408641
0,0,292.0,600,460.0,0.95,0.0,1.0,1.0,1.0,0.939214004963646,0.5279108428564038,0.7197655874909785,0.6045042602328596,0.5277875114879378
1,1,292.0,610,460.0,0.95,0.0,1.0,1.0,1.0,0.9006231902463604,0.4999218009536987,0.758752625186344,0.6083205248242866,0.4981856152617023
2,2,292.0,620,460.0,0.95,0.0,1.0,1.0,1.0,0.9159589104348744,0.4985071553421862,0.7743356437638986,0.6035350720666902,0.5055110656484005
3,3,292.0,630,460.0,0.95,0.0,1.0,1.0,1.0,0.923403120789012,0.4938277377497624,0.7396869184487256,0.590844772760976,0.5002896963471949
4,4,292.0,640,460.0,0.95,0.0,1.0,1.0,1.0,0.9537304841064296,0.5075385872354793,0.7689135619296453,0.6200452142899067,0.5207712670043645
5,5,292.0,650,460.0,0.95,0.0,1.0,1.0,1.0,0.9418157291384386,0.5002990222065359,0.7475568378187505,0.5660893471065815,0.5036214186837574
6,6,292.0,660,460.0,0.95,0.0,1.0,1.0,1.0,0.9481398668498724,0.4996408086090912,0.82,0.5515445267936682,0.5167423524118447
7,7,292.0,670,460.0,0.95,0.0,1.0,1.0,1.0,0.9198748563405118,0.4974505003277865,0.7101815708062593,0.5975744876580666,0.4890127555926369
8,8,292.0,680,460.0,0.95,0.0,1.0,1.0,1.0,0.9416397340261842,0.4934276080420245,0.6938519460772999,0.5688645251538477,0.4983933479192963
9,9,292.0,690,460.0,0.95,0.0,1.0,1.0,1.0,0.9342525972658088,0.4924632030420767,0.7518499810451582,0.5502280977278111,0.5133660806949181
10,10,292.0,700,460.0,0.95,0.0,1.0,1.0,1.0,0.9487678672361046,0.50607108416444,0.7695547434535908,0.5458176805026735,0.5062600140074522
0,0,306.0,600,552.5,0.85,0.0,1.0,1.0,1.0,0.8194531594306798,0.5059702354036751,0.5625752750110984,0.5844890792721956,0.5377162521981417
1,1,306.0,610,552.5,0.85,0.0,1.0,1.0,1.0,0.7498494086816127,0.510464401788844,0.6501569104701609,0.5932782544986945,0.506260228287075
2,2,306.0,620,552.5,0.85,0.0,1.0,1.0,1.0,0.7898650592778861,0.5025666473599364,0.6120716323112175,0.5958174764833581,0.5314874539883918
3,3,306.0,630,552.5,0.85,0.0,1.0,1.0,1.0,0.8639279228089671,0.4997528814853892,0.5746299212340481,0.5831001263613177,0.5103480084618228
4,4,306.0,640,552.5,0.85,0.0,1.0,1.0,1.0,0.8017928702160774,0.5130575463314065,0.5659231518949288,0.5898266740483615,0.5337556815005087
5,5,306.0,650,552.5,0.85,0.0,1.0,1.0,1.0,0.8556102413502298,0.5056166046013731,0.5786863257891954,0.5503189314159975,0.5028650926845943
6,6,306.0,660,552.5,0.85,0.0,1.0,1.0,1.0,0.8955418539334487,0.4990952655387559,0.6885259503712688,0.5253397277862648,0.4851481089240782
7,7,306.0,670,552.5,0.85,0.0,1.0,1.0,1.0,0.9609606809434812,0.495701367722137,0.8065093645522581,0.5915604246908017,0.5055862849748991
8,8,306.0,680,552.5,0.85,0.0,1.0,1.0,1.0,0.8936558418997713,0.5111113175691575,0.7500240797286453,0.5340474438952361,0.5110420275605811
9,9,306.0,690,552.5,0.85,0.0,1.0,1.0,1.0,0.9722070195964052,0.4827302096751592,0.7187987421876099,0.5440826077425123,0.5050379267665844
10,10,306.0,700,552.5,0.85,0.0,1.0,1.0,1.0,0.9450794424955772,0.4917964162289926,0.8075062542291567,0.5805079087251712,0.5084687169592864
0,0,294.0,600,500.0,0.95,0.0,1.0,1.0,1.0,0.9299146164965996,0.5033398525753926,0.7740245828320443,0.6001196483001282,0.5263677206480366
1,1,294.0,610,500.0,0.95,0.0,1.0,1.0,1.0,0.8798888033788004,0.5085075374000656,0.6976144144336861,0.6402095184958478,0.4957587838918871
2,2,294.0,620,500.0,0.95,0.0,1.0,1.0,1.0,0.9535686919025644,0.502124086650499,0.7644054583780501,0.5258521090479811,0.5160832257432186
3,3,294.0,630,500.0,0.95,0.0,1.0,1.0,1.0,0.9501503996944636,0.4931709799786712,0.7518547535510215,0.5759571980476121,0.5074207853269517
4,4,294.0,640,500.0,0.95,0.0,1.0,1.0,1.0,0.9291920766055908,0.4999712743489441,0.7050870652549812,0.5587911422760696,0.4858367577332322
5,5,294.0,650,500.0,0.95,0.0,1.0,1.0,1.0,0.9519926223966102,0.4969988273212775,0.7461729655708547,0.5599708719002159,0.5093013037194434
6,6,294.0,660,500.0,0.95,0.0,1.0,1.0,1.0,0.951505423706217,0.4975155740960719,0.7825890645593578,0.6034357805677342,0.5022375335917229
7,7,294.0,670,500.0,0.95,0.0,1.0,1.0,1.0,0.9309606079386974,0.4973915324934217,0.7926707014650513,0.5613659975828519,0.508886805559644
