,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,306.0,600,562.5,1.15,0.0,1.0,1.0,1.0,0.9460371036677209,0.5064230403168442,0.6974624931351169,0.5497105317219271,0.5211392664857697
1,306.0,610,562.5,1.15,0.0,1.0,1.0,1.0,0.953085310123776,0.5099951216017842,0.7981959304394326,0.5909100560451142,0.49151835607221306
2,306.0,620,562.5,1.15,0.0,1.0,1.0,1.0,0.9268266084433392,0.4797530053977666,0.705184425947768,0.5508330003350553,0.49799651702941305
3,306.0,630,562.5,1.15,0.0,1.0,1.0,1.0,0.9065298347749241,0.5085821141869296,0.7950441417268447,0.5266542243957952,0.5037011724613025
4,306.0,640,562.5,1.15,0.0,1.0,1.0,1.0,0.9621324292184383,0.49276664872098924,0.7628538224850188,0.5517047822162768,0.4871854832193395
5,306.0,650,562.5,1.15,0.0,1.0,1.0,1.0,0.9576995237106878,0.4972022499870622,0.6785340493749249,0.5397747061262741,0.5066364649391565
6,306.0,660,562.5,1.15,0.0,1.0,1.0,1.0,0.9445106033554982,0.509705549122409,0.7877838744847295,0.5817729159841201,0.5311787449608485
7,306.0,670,562.5,1.15,0.0,1.0,1.0,1.0,0.957376476500998,0.495979146078953,0.735002824294813,0.5700057433595155,0.5084602993714585
8,306.0,680,562.5,1.15,0.0,1.0,1.0,1.0,0.9443170532409157,0.4999144587134752,0.7904741548233208,0.5465044192558232,0.49779409248783785
9,306.0,690,562.5,1.15,0.0,1.0,1.0,1.0,0.9200539366548088,0.4903750047548173,0.713334561461809,0.5368267605718293,0.5106303452269895
10,306.0,700,562.5,1.15,0.0,1.0,1.0,1.0,0.9727024000460933,0.510049324432368,0.8673318213706203,0.5398232311732633,0.4928159573364467
