,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,298.0,600,557.5,0.95,0.0,1.0,1.0,1.0,0.794050373981309,0.49720836244331823,0.563769574106882,0.5461994353386721,0.5127582822808332
1,298.0,610,557.5,0.95,0.0,1.0,1.0,1.0,0.9282232040513921,0.5024815427488432,0.7604708515109848,0.5769614494733115,0.5027878590248493
2,298.0,620,557.5,0.95,0.0,1.0,1.0,1.0,0.9048673737763357,0.49227948567804897,0.7695972843603698,0.5677288241072869,0.503058782184019
3,298.0,630,557.5,0.95,0.0,1.0,1.0,1.0,0.9522140887498505,0.49287255259530693,0.6875979395230905,0.5689084174517693,0.5123272124246745
4,298.0,640,557.5,0.95,0.0,1.0,1.0,1.0,0.9196696645410473,0.4945606164913528,0.7718403297540121,0.5872421040124081,0.4945955319057397
5,298.0,650,557.5,0.95,0.0,1.0,1.0,1.0,0.9141966431747133,0.5126629614684379,0.787554909716953,0.5671247617530755,0.509887412883979
6,298.0,660,557.5,0.95,0.0,1.0,1.0,1.0,0.9696910680590417,0.50031988570058,0.7572192408340703,0.5533965884612695,0.4972899030776933
7,298.0,670,557.5,0.95,0.0,1.0,1.0,1.0,0.9246811823213094,0.4983026262927629,0.7397655240328734,0.5595616806691611,0.5225797658687089
8,298.0,680,557.5,0.95,0.0,1.0,1.0,1.0,0.9690898242469389,0.49099367255324344,0.7204829317082034,0.5505866237209212,0.5050885244823357
9,298.0,690,557.5,0.95,0.0,1.0,1.0,1.0,0.9109265326273726,0.4977071983845855,0.7383583327889709,0.5558595754488372,0.5025719052482105
10,298.0,700,557.5,0.95,0.0,1.0,1.0,1.0,0.9538636222294196,0.5025700370507046,0.7941507229149078,0.5444430761335344,0.49731027007846385
