,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,294.0,600,542.5,0.85,0.0,1.0,1.0,1.0,0.8491085087327441,0.503084304544344,0.6819109945388168,0.6266094065944616,0.5210717532721238
1,294.0,610,542.5,0.85,0.0,1.0,1.0,1.0,0.8571763463605159,0.5064813792665166,0.7137412124084627,0.6545079274118845,0.5669770419488567
2,294.0,620,542.5,0.85,0.0,1.0,1.0,1.0,0.9263561439439079,0.48521755197180577,0.693805517440303,0.5726970480790778,0.5072166865830738
3,294.0,630,542.5,0.85,0.0,1.0,1.0,1.0,0.9081392324417916,0.5037420367221604,0.7218393499124129,0.5536478561914362,0.4964495962720452
4,294.0,640,542.5,0.85,0.0,1.0,1.0,1.0,0.9103301392098295,0.49563037490027184,0.7748144128631249,0.5826016130642883,0.49255682670378703
5,294.0,650,542.5,0.85,0.0,1.0,1.0,1.0,0.9411165739314015,0.5043601472694391,0.8078486312769794,0.5466944499993327,0.5160432651008191
6,294.0,660,542.5,0.85,0.0,1.0,1.0,1.0,0.914451553608029,0.5031423266613027,0.6974579167374043,0.5577300693632281,0.5026150570805338
7,294.0,670,542.5,0.85,0.0,1.0,1.0,1.0,0.9426552746453136,0.508464897897397,0.7079795194175741,0.5663219991618009,0.5087827824598687
8,294.0,680,542.5,0.85,0.0,1.0,1.0,1.0,0.9081608516482902,0.4984789530514483,0.8244893027774003,0.591596360991506,0.5098564938594299
9,294.0,690,542.5,0.85,0.0,1.0,1.0,1.0,0.9592804129703267,0.4906331552980824,0.7765746688286302,0.5895522106197406,0.5001761112318139
10,294.0,700,542.5,0.85,0.0,1.0,1.0,1.0,0.9826767080365855,0.5021432561553223,0.7630150931026077,0.5580051454473011,0.502536766149787
