,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,294.0,600,497.5,0.85,0.0,1.0,1.0,1.0,0.8365033475954693,0.5190558756699648,0.6575472109764526,0.6175519737936404,0.5703561173867635
1,294.0,610,497.5,0.85,0.0,1.0,1.0,1.0,0.8225914986312717,0.506588329836551,0.6949240040061531,0.6152032860484965,0.5345698122302268
2,294.0,620,497.5,0.85,0.0,1.0,1.0,1.0,0.8412570722515784,0.49864785263041256,0.6789640809143813,0.5475610764842304,0.5325563364336878
3,294.0,630,497.5,0.85,0.0,1.0,1.0,1.0,0.867950531289386,0.4906552370743061,0.7623505808836883,0.5800835268184183,0.4980422387222143
4,294.0,640,497.5,0.85,0.0,1.0,1.0,1.0,0.9105742860909951,0.492852570675844,0.7375325168193833,0.5704444220967391,0.4937740515147782
5,294.0,650,497.5,0.85,0.0,1.0,1.0,1.0,0.8955290122911922,0.5101218996294244,0.7358486619193984,0.5633782492021354,0.5125751619963734
6,294.0,660,497.5,0.85,0.0,1.0,1.0,1.0,0.914269120528667,0.49634763288275857,0.7913286779622487,0.5343977108372442,0.4967722204391469
7,294.0,670,497.5,0.85,0.0,1.0,1.0,1.0,0.9552341618573124,0.5011334355231885,0.7614710830216005,0.5763927347099717,0.5017273519279376
8,294.0,680,497.5,0.85,0.0,1.0,1.0,1.0,0.9506941151942258,0.5015163450549014,0.7285409715363086,0.5637988322906077,0.48884098571660994
9,294.0,690,497.5,0.85,0.0,1.0,1.0,1.0,0.9333513562161244,0.4943765697942847,0.7768856537679216,0.5908198485423822,0.4956280815965745
10,294.0,700,497.5,0.85,0.0,1.0,1.0,1.0,0.9402419615129688,0.49101723622141036,0.7437893902301024,0.6014378680639016,0.5076678228632009
