,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,296.0,600,472.5,0.85,0.0,1.0,1.0,1.0,0.76774906163752,0.5124852979326484,0.6087376321190062,0.6324847140268433,0.5647530562545484
1,296.0,610,472.5,0.85,0.0,1.0,1.0,1.0,0.8204979796264965,0.4991437889907938,0.5414453702961838,0.6597830402755497,0.5346636969170334
2,296.0,620,472.5,0.85,0.0,1.0,1.0,1.0,0.8485385928167268,0.48777085461288217,0.6128877785510797,0.6586064216477452,0.5498701373252974
3,296.0,630,472.5,0.85,0.0,1.0,1.0,1.0,0.8021063007965455,0.5050213449839229,0.5701577592155392,0.5438509813562359,0.5035888921666652
4,296.0,640,472.5,0.85,0.0,1.0,1.0,1.0,0.929405422434104,0.49960076033442846,0.7487505062148839,0.5646123938979051,0.5121106833604199
5,296.0,650,472.5,0.85,0.0,1.0,1.0,1.0,0.9261417452442278,0.5096528839733271,0.7121634717520668,0.5486478060693452,0.49540131168748713
6,296.0,660,472.5,0.85,0.0,1.0,1.0,1.0,0.9386552261078982,0.49780752518920596,0.7723672268116595,0.5822569435034743,0.49651299308120167
7,296.0,670,472.5,0.85,0.0,1.0,1.0,1.0,0.9006335838351663,0.47882444367223387,0.7052760517150511,0.6564487291551704,0.5101991112129651
8,296.0,680,472.5,0.85,0.0,1.0,1.0,1.0,0.9233007184046549,0.5088632133660184,0.7383761242863526,0.6041214588577548,0.4864676507697654
9,296.0,690,472.5,0.85,0.0,1.0,1.0,1.0,0.947117403363993,0.5048115281417437,0.6804667474534318,0.6367659717736057,0.5000866255782002
10,296.0,700,472.5,0.85,0.0,1.0,1.0,1.0,0.9505004681781781,0.5003971330151444,0.7906268800029006,0.6233519534414846,0.508620543634005
