,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,296.0,600,517.5,0.95,0.0,1.0,1.0,1.0,0.9445713895491241,0.5047963865855631,0.767596394583013,0.5419838392641748,0.5154257467469371
1,296.0,610,517.5,0.95,0.0,1.0,1.0,1.0,0.9147280782586729,0.49517436671462656,0.81260165869495,0.5718521116533544,0.49520143470326083
2,296.0,620,517.5,0.95,0.0,1.0,1.0,1.0,0.9538496947328836,0.49301837060315623,0.7577457500012003,0.524239736036403,0.5221510194760454
3,296.0,630,517.5,0.95,0.0,1.0,1.0,1.0,0.9301891098515969,0.5109619067114608,0.6919263208076372,0.5490018308228608,0.4981606422738686
4,296.0,640,517.5,0.95,0.0,1.0,1.0,1.0,0.9148785077122792,0.4858653764458114,0.7426531535029166,0.529223511945853,0.4914946715453493
5,296.0,650,517.5,0.95,0.0,1.0,1.0,1.0,0.978054267035813,0.5131786896948866,0.8388625535598699,0.5302898061705791,0.5123853670412896
6,296.0,660,517.5,0.95,0.0,1.0,1.0,1.0,0.9156276029222589,0.4969213056871352,0.7641425791243834,0.6057605982010574,0.482603529199895
7,296.0,670,517.5,0.95,0.0,1.0,1.0,1.0,0.9456445091897494,0.4853112838974939,0.8030978155400426,0.5797203270008269,0.5099356930060506
8,296.0,680,517.5,0.95,0.0,1.0,1.0,1.0,0.9358922500975094,0.5153204608868601,0.7575251936980099,0.5718370360354271,0.5341880150905695
9,296.0,690,517.5,0.95,0.0,1.0,1.0,1.0,0.928002289109164,0.510200033797793,0.7442491643238867,0.5601795763673808,0.5022058519754518
10,296.0,700,517.5,0.95,0.0,1.0,1.0,1.0,0.9343300951796891,0.5060295415609712,0.7436563629446601,0.5310899503147509,0.5044396935203286
