,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,292.0,600,580.0,0.95,0.0,1.0,1.0,1.0,0.9034423421990068,0.5069954631696991,0.7351685176013741,0.5293341035809445,0.5294729027514595
1,292.0,610,580.0,0.95,0.0,1.0,1.0,1.0,0.9148073582232726,0.4985280637770509,0.689529847050997,0.5621643145989564,0.4951000888534822
2,292.0,620,580.0,0.95,0.0,1.0,1.0,1.0,0.9290830003849117,0.5041508950808569,0.7632231191536432,0.577607107541388,0.4959181965345258
3,292.0,630,580.0,0.95,0.0,1.0,1.0,1.0,0.9291813831507838,0.49240602384636406,0.8170932878969339,0.5805268101800459,0.5209703071543001
4,292.0,640,580.0,0.95,0.0,1.0,1.0,1.0,0.9552217693533386,0.5033691676943158,0.6740329864031832,0.6080321300063156,0.5085974988430852
5,292.0,650,580.0,0.95,0.0,1.0,1.0,1.0,0.9248233868698087,0.5000720840648476,0.8028349106197179,0.5591466997769536,0.5059226066191684
6,292.0,660,580.0,0.95,0.0,1.0,1.0,1.0,0.9685067277445665,0.4913102091597897,0.7643028449115212,0.5504429590133861,0.49785689543947687
7,292.0,670,580.0,0.95,0.0,1.0,1.0,1.0,0.9391200955135635,0.4916672816999938,0.7653287363199172,0.5629033265661105,0.510786958036927
8,292.0,680,580.0,0.95,0.0,1.0,1.0,1.0,0.9256743375997678,0.4934888529202624,0.7310304337030166,0.5369333575712256,0.49563228500002887
9,292.0,690,580.0,0.95,0.0,1.0,1.0,1.0,0.9281363295176259,0.5079743232732776,0.6693738718344102,0.5474315948450525,0.49767303370203936
10,292.0,700,580.0,0.95,0.0,1.0,1.0,1.0,0.9408713680502551,0.5009797852745644,0.747569163504791,0.5737148001898621,0.499236241494809
