,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,0.01,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.4967499999999957,0.5086874999999955,0.5062499999999953,0.505124999999996,0.4884999999999948
1,0.11,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49374999999999447,0.5039999999999945,0.5006249999999952,0.4912499999999941,0.5038749999999954
2,0.21000000000000002,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5134374999999957,0.5031874999999949,0.4953124999999952,0.5109374999999952,0.4918749999999948
3,0.31000000000000005,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49768749999999484,0.5026249999999954,0.49099999999999505,0.5006874999999955,0.5068124999999959
4,0.41000000000000003,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5135624999999951,0.4975624999999956,0.49624999999999453,0.5031249999999959,0.493874999999994
5,0.51,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49706249999999486,0.495624999999995,0.5012499999999951,0.509249999999995,0.5055624999999957
6,0.6100000000000001,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49562499999999565,0.5056874999999955,0.5024999999999948,0.5069999999999958,0.4953124999999946
7,0.7100000000000001,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.4993749999999955,0.4988749999999952,0.5072499999999952,0.49974999999999553,0.5005624999999949
8,0.81,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5038749999999951,0.5016874999999954,0.499437499999995,0.4985624999999951,0.5068124999999954
9,0.91,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49499999999999406,0.5051874999999958,0.49943749999999465,0.49449999999999505,0.4944374999999951
10,1.01,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.4918124999999941,0.4953749999999946,0.49381249999999516,0.5051874999999955,0.49631249999999544
11,1.11,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5025624999999952,0.5002499999999951,0.4966874999999941,0.5068749999999953,0.5092499999999947
12,1.2100000000000002,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5028124999999954,0.496874999999995,0.5001249999999949,0.4958749999999948,0.5031249999999952
13,1.31,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.4970624999999945,0.5143749999999964,0.49474999999999536,0.5029999999999955,0.4976249999999956
14,1.4100000000000001,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5015624999999952,0.5009374999999949,0.49412499999999415,0.5073749999999961,0.5019999999999956
15,1.51,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5064999999999956,0.5078124999999959,0.4941874999999943,0.5088124999999957,0.49356249999999396
16,1.61,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49331249999999516,0.4976874999999952,0.5045624999999954,0.5058124999999949,0.49312499999999504
17,1.7100000000000002,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5026249999999958,0.501937499999995,0.5038124999999959,0.5127499999999959,0.4985624999999946
18,1.81,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.496624999999996,0.49987499999999496,0.5087499999999954,0.5026874999999953,0.5000624999999947
19,1.9100000000000001,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5079999999999956,0.5048749999999949,0.5013124999999956,0.5006249999999948,0.4968749999999953
20,2.01,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5005624999999954,0.5043749999999944,0.5041249999999957,0.4858749999999944,0.4965624999999947
21,2.11,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.4944374999999951,0.4989374999999949,0.49637499999999485,0.5039374999999952,0.5039374999999953
22,2.21,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5012499999999946,0.49606249999999513,0.49581249999999466,0.49837499999999474,0.5016249999999958
23,2.31,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5001249999999957,0.5034999999999956,0.5087499999999958,0.4964374999999954,0.49993749999999537
24,2.41,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49499999999999533,0.5001874999999945,0.5025624999999952,0.5084374999999952,0.4957499999999951
25,2.51,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5000624999999955,0.4953749999999946,0.4993749999999951,0.5099374999999959,0.501374999999995
26,2.61,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5042499999999949,0.5093749999999956,0.4958124999999948,0.5016249999999957,0.49856249999999475
27,2.71,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49731249999999455,0.49806249999999447,0.497062499999995,0.5047499999999956,0.4920624999999947
28,2.81,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49668749999999556,0.5030624999999955,0.49812499999999515,0.49899999999999556,0.5124999999999953
29,2.91,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49943749999999537,0.4981874999999956,0.49999999999999484,0.49006249999999535,0.5008124999999947
30,3.01,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49868749999999534,0.4942499999999953,0.49499999999999494,0.4969999999999941,0.5138749999999952
31,3.11,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.503374999999995,0.5111874999999951,0.4954374999999952,0.4980624999999953,0.5038124999999953
32,3.21,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5051874999999957,0.49574999999999464,0.49062499999999487,0.5008124999999951,0.5002499999999951
33,3.31,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49749999999999517,0.493812499999995,0.49606249999999485,0.5018749999999953,0.4963124999999948
34,3.41,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49062499999999476,0.4938124999999946,0.5090624999999951,0.4964374999999957,0.494187499999995
35,3.51,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.5014999999999953,0.501812499999995,0.502624999999995,0.5141249999999953,0.49474999999999464
36,3.61,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.49381249999999516,0.5019374999999954,0.4939999999999948,0.5001874999999955,0.5058124999999953
37,3.71,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.4978124999999946,0.49624999999999436,0.49787499999999507,0.4944374999999952,0.5080624999999948
38,3.81,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.4932499999999952,0.4967499999999948,0.4936249999999955,0.5050624999999949,0.5051874999999951
39,3.91,3500.0,16.0,1.11,2.0,1.0,1.0,1.0,0.495999999999995,0.4993124999999951,0.5096874999999957,0.4936874999999949,0.5001249999999947
