,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,0.01,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.4981874999999948,0.5013749999999947,0.4979374999999947,0.5033749999999954,0.49168749999999434
1,0.11,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.5054999999999956,0.5036249999999952,0.5041249999999955,0.4961249999999948,0.5083124999999946
2,0.21000000000000002,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.497687499999995,0.5043749999999958,0.507187499999995,0.5016874999999954,0.503562499999995
3,0.31000000000000005,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.5060624999999952,0.49487499999999474,0.4964374999999942,0.4931249999999946,0.5044999999999957
4,0.41000000000000003,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.4970624999999945,0.503812499999995,0.504312499999996,0.5004374999999953,0.5007499999999948
5,0.51,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.5104374999999964,0.5133124999999954,0.49593749999999537,0.493374999999995,0.4932499999999937
6,0.6100000000000001,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.4998124999999957,0.4968124999999956,0.49412499999999493,0.5021249999999957,0.5023124999999962
7,0.7100000000000001,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.5024374999999957,0.49362499999999443,0.5035624999999956,0.5003124999999955,0.4999374999999954
8,0.81,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.48949999999999455,0.493874999999995,0.5104999999999957,0.5028124999999946,0.5058749999999951
9,0.91,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.49368749999999473,0.4908124999999952,0.5011874999999943,0.4974374999999956,0.49324999999999475
10,1.01,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.49581249999999494,0.4988124999999955,0.4976874999999955,0.5014374999999961,0.5026249999999954
11,1.11,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.5262499999999941,0.4937499999999947,0.547812500000328,0.5004999999999954,0.49756249999999563
12,1.2100000000000002,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9846874999996438,0.5017499999999959,0.9946874999999963,0.48762499999999476,0.5017499999999948
13,1.31,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9815624999990604,0.5019374999999952,0.9967499999999445,0.5044374999999957,0.4907499999999952
14,1.4100000000000001,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9909375000000162,0.5013749999999954,0.989250000000367,0.5041249999999962,0.5027499999999957
15,1.51,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.99487499999994,0.49949999999999467,0.9843750000013852,0.5124374999999949,0.5048124999999948
16,1.61,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9856874999993357,0.4998749999999953,0.9927499999988363,0.49837499999999474,0.4945624999999952
17,1.7100000000000002,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9872499999998432,0.5121874999999951,0.9941249999999124,0.5091874999999952,0.49812499999999443
18,1.81,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9928125000003046,0.508999999999995,0.9970000000000001,0.4889999999999949,0.5058124999999954
19,1.9100000000000001,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9896875000000456,0.5363124999999961,0.9926875000004014,0.5331249999999953,0.535874999999996
20,2.01,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9975625000000286,0.5532499999999954,0.992624999999958,0.550999999999996,0.5627499999999959
21,2.11,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.99143749999999,0.5588749999999958,0.9888749999998858,0.5281249999999951,0.5827499999999961
22,2.21,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9952499999999901,0.6308749999999965,0.9946250000002064,0.6051249999999954,0.6268124999999964
23,2.31,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9954374999998805,0.6302499999999969,0.9961250000000023,0.6390624999999964,0.622812499999996
24,2.41,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9974999999998367,0.6881249999999973,0.9881875000002044,0.6813124999999964,0.6892499999999973
25,2.51,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9834375000004062,0.7276874999999973,0.9953749999999832,0.8042499999999985,0.7483124999999982
26,2.61,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9896250000000031,0.8376249999999981,0.9951250000000318,0.8580624999999982,0.8551249999999984
27,2.71,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9923124999999988,0.9539999999999995,1.0,0.9761249999999997,0.9579374999999997
28,2.81,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9952499999997885,1.0,0.9955,1.0,1.0
29,2.91,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.98762499999993,1.0,0.9958124999999807,1.0,1.0
30,3.01,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9942500000006863,1.0,0.9932499999996443,1.0,1.0
31,3.11,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9931874999999701,1.0,0.9962499999999725,1.0,1.0
32,3.21,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9867500000003119,1.0,0.9925625,1.0,1.0
33,3.31,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9924999999998313,1.0,0.9922499999999955,1.0,1.0
34,3.41,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.985062499999707,1.0,0.9918749999996386,1.0,1.0
35,3.51,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.993562499999463,1.0,0.9918125000002183,1.0,1.0
36,3.61,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9963749999999993,1.0,0.9813749999604967,1.0,1.0
37,3.71,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.996875,1.0,0.9952500000000917,1.0,1.0
38,3.81,3500.0,8.0,0.135,2.0,1.0,1.0,1.0,0.9967499999999866,1.0,0.9899999999999883,1.0,1.0
