,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,0.01,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5177499999999956,0.49799999999999456,0.48599999999999427,0.5077499999999948,0.5044999999999964
1,0.11,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.506249999999995,0.5164999999999956,0.502749999999995,0.4997499999999956,0.49349999999999267
2,0.21000000000000002,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5067499999999955,0.4894999999999944,0.4929999999999943,0.4809999999999951,0.49474999999999536
3,0.31000000000000005,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.513749999999996,0.5262499999999974,0.47374999999999357,0.5244999999999965,0.4887499999999956
4,0.41000000000000003,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5084999999999958,0.48774999999999585,0.5029999999999956,0.5139999999999963,0.5084999999999958
5,0.51,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5269999999999959,0.4999999999999948,0.4782499999999931,0.49574999999999453,0.5034999999999951
6,0.6100000000000001,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5142499999999937,0.4932499999999941,0.5102499999999957,0.5032499999999971,0.47649999999999454
7,0.7100000000000001,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.48024999999999285,0.5014999999999962,0.49474999999999536,0.4862499999999946,0.4919999999999952
8,0.81,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5112499999999971,0.4997499999999945,0.49999999999999395,0.49649999999999517,0.4994999999999948
9,0.91,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.4927499999999944,0.5119999999999957,0.4967499999999953,0.5062499999999959,0.5097499999999948
10,1.01,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.49499999999999333,0.505249999999996,0.49824999999999486,0.4864999999999954,0.5109999999999955
11,1.11,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.48474999999999413,0.5137499999999945,0.49049999999999505,0.49524999999999597,0.5064999999999941
12,1.2100000000000002,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5024999999999951,0.48599999999999544,0.5054999999999964,0.5184999999999964,0.4877499999999945
13,1.31,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.518749999999995,0.5054999999999961,0.502999999999995,0.49074999999999414,0.499749999999995
14,1.4100000000000001,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5159999999999956,0.4969999999999944,0.4984999999999943,0.5107499999999943,0.49224999999999364
15,1.51,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.48124999999999557,0.5007499999999938,0.5067499999999946,0.5087499999999958,0.5129999999999963
16,1.61,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.508499999999997,0.48749999999999466,0.48824999999999374,0.5132499999999955,0.508249999999995
17,1.7100000000000002,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5147499999999956,0.49699999999999517,0.4894999999999959,0.4934999999999956,0.5144999999999953
18,1.81,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.48974999999999447,0.5079999999999953,0.4932499999999953,0.5019999999999959,0.49824999999999503
19,1.9100000000000001,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.49524999999999453,0.5169999999999968,0.4974999999999959,0.4992499999999952,0.5109999999999959
20,2.01,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5144999999999968,0.48774999999999463,0.5122499999999963,0.5014999999999942,0.5149999999999959
21,2.11,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5037499999999948,0.4877499999999938,0.5044999999999961,0.496749999999995,0.5019999999999939
22,2.21,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.4844999999999958,0.5004999999999946,0.49249999999999544,0.47499999999999476,0.5072499999999966
23,2.31,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.48499999999999516,0.5027499999999959,0.5104999999999947,0.5112499999999963,0.5022499999999942
24,2.41,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5007499999999951,0.4847499999999956,0.49024999999999475,0.5004999999999962,0.5114999999999942
25,2.51,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.48624999999999624,0.49924999999999464,0.49774999999999514,0.49574999999999514,0.49299999999999444
26,2.61,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.5047499999999946,0.5027499999999938,0.5167499999999957,0.4924999999999935,0.5047499999999963
27,2.71,4000.0,10.0,0.335,0.0,1.0,1.0,1.0,0.4884999999999959,0.49474999999999447,0.5082499999999951,0.49374999999999486,0.4979999999999949
