,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,0.01,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.5058781278973347,0.5165869685272015,0.5245257245734405,0.500906886788368,0.505707123656955
1,0.11,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.4889991206569476,0.49062211609260753,0.4723551221214688,0.5144935701936649,0.4962835501740554
2,0.21000000000000002,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.5026028627511566,0.5221050716225974,0.486366942868211,0.4881842532461572,0.5161142935005641
3,0.31000000000000005,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.48517924740709867,0.4809274245093967,0.49930905608110193,0.5152736473505387,0.4911664354546147
4,0.41000000000000003,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.492213314455503,0.5263210569952814,0.48442666275201096,0.5132324711191695,0.5007291962409525
5,0.51,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.5150038947466917,0.4979214327952001,0.5098802905486078,0.496810047802233,0.5192362551301276
6,0.6100000000000001,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.5087170988184267,0.5099125281639987,0.49980680833880137,0.5191217309853574,0.5309945920293299
7,0.7100000000000001,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.48415357450870566,0.4787125744245301,0.49208861602918325,0.5073988619544546,0.47861199276061156
8,0.81,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.5035141904873562,0.4895095949612859,0.4959342578213478,0.5172708195588683,0.5178701087177506
9,0.91,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.5205102640668994,0.5066292943323679,0.5113812222309848,0.49703053753324555,0.5096342097779213
10,1.01,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.5134981853193133,0.5035635587126167,0.473571856696576,0.4875959197886962,0.5050367209677649
11,1.11,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.48944338104727086,0.5108648109525904,0.4814131782851613,0.5046288536926997,0.47565751722063415
12,1.2100000000000002,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.48483703431049874,0.47272507743341113,0.5068787016181228,0.4951963506343359,0.5113346431012256
13,1.31,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.49844353157240295,0.5023801142475305,0.4851608765562193,0.5168023011457833,0.4967386613740586
14,1.4100000000000001,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.4944815739989396,0.47730960206027895,0.4929529674625151,0.5124017853022865,0.48995578183841726
15,1.51,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.49169339816784907,0.5236454082001305,0.5185541406910391,0.498546161503895,0.4971789601710254
16,1.61,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.49247481291685896,0.48406645011943683,0.4903466162599697,0.509302973450579,0.495569547898144
17,1.7100000000000002,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.4909981521477354,0.5040089691139011,0.4774396896754995,0.505261123717119,0.4909954976454641
18,1.81,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.49890728952823915,0.5113888380749565,0.48804580467397274,0.5233161176338973,0.5011633553964304
19,1.9100000000000001,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.49700009023829084,0.47899797619387413,0.4886432501561263,0.49159584898916897,0.525525202278109
20,2.01,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.5030002280863779,0.5167224434063525,0.4962261726337679,0.5216471069493986,0.49398897526328495
21,2.11,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.4942517891534637,0.51369784323325,0.5086965650953224,0.5067046716484775,0.5083774685683469
22,2.21,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.4792417260065694,0.48491114760640314,0.48821035013945496,0.488330628905997,0.49968434035759624
23,2.31,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.5069859817078184,0.5152746851508198,0.4832637976590786,0.4963220154651454,0.48480376390383756
24,2.41,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.47888331778514426,0.49862167354077586,0.5053621172205562,0.5086226633883129,0.5007090357102645
25,2.51,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.5166690349581113,0.500039935181673,0.4948306015629719,0.4959199421651036,0.502716232408012
26,2.61,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.4885487963446554,0.5081969623053219,0.5145938050545412,0.4973942439794664,0.5044120977074972
27,2.71,4000.0,10.0,0.46,2.0,0.8,0.8,0.99,0.46802151729150854,0.4902614222554661,0.484624760117081,0.48343961165261984,0.5086291862292838
