,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,0.01,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.506999825774597,0.49800151174855223,0.5262476004868916,0.5002464468443231,0.4967535722167087
1,0.11,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.4867517611867286,0.49125180329533624,0.49350696700648394,0.510249312853128,0.49325539409079494
2,0.21000000000000002,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.4967517668014791,0.503503202078037,0.46525329554265904,0.509250503874313,0.491753733459963
3,0.31000000000000005,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5019994572557853,0.5012470206112934,0.48999732560090514,0.5142455122923328,0.5107527222191804
4,0.41000000000000003,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.4975010489806503,0.5109919349539341,0.490254138453224,0.5044999169048426,0.5017494958558893
5,0.51,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5090024569122776,0.48850390078662337,0.509250713067554,0.4850024858086857,0.5037559660082402
6,0.6100000000000001,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.4924975138478026,0.5022470265331915,0.49999883500225606,0.493000229834592,0.5060011881849066
7,0.7100000000000001,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.48849978836261804,0.4979946937636465,0.49699628706132815,0.5022518264703002,0.5010002320791704
8,0.81,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.47669088802937126,0.5010035643278887,0.5009138401035955,0.4889995098886318,0.47450282775095565
9,0.91,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.509562119804301,0.4827485662930921,0.49951059041242124,0.4912517402130108,0.5052484811108896
10,1.01,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5014097320515967,0.5107515274177501,0.4634935110369753,0.5042502645731106,0.516496440827561
11,1.11,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5181111138416167,0.5167429973826174,0.4899374457576691,0.5072503769220494,0.5247505825528604
12,1.2100000000000002,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.49013713400270653,0.4892524178425631,0.5084919319574066,0.49525283727173025,0.49849671676500434
13,1.31,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5509637535539837,0.4887496028908999,0.5048031328734617,0.4809957877137666,0.5024949572923012
14,1.4100000000000001,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5309329186191689,0.4975027614589876,0.512290839748406,0.4912498567329052,0.5162479612047516
15,1.51,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.513704003630348,0.49724912317169173,0.5240499572528039,0.5092557291240941,0.5149938673609412
16,1.61,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.506781089727779,0.49501614714093495,0.5204073831177739,0.49250366267863227,0.5072533921643346
17,1.7100000000000002,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5484874261245646,0.4960167071189388,0.5190605561876831,0.515279355783784,0.5174224327252575
18,1.81,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5669774741463988,0.4904855312190602,0.5360853356703877,0.5120472416036652,0.49015291216895934
19,1.9100000000000001,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.4852366193931642,0.5065544512228455,0.5008178808005068,0.49985841214718835,0.48270731575210035
20,2.01,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5228219559958465,0.4876321668073905,0.5426249461701375,0.5119910964301411,0.49788026960328924
21,2.11,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5078409027925574,0.5073326213209661,0.5194861444550856,0.4978580959034192,0.5109439587987179
22,2.21,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5396132416163336,0.6473294299550124,0.49985841005717846,0.6068168901190335,0.6243853868886425
23,2.31,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5197830770489648,0.6121218522933465,0.4869708202730589,0.6190359407054705,0.5933696991858566
24,2.41,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5399255308974146,0.6294085854763978,0.538315317386075,0.5909866831154414,0.6128612606435974
25,2.51,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5370590635840613,0.6279013776640882,0.5455091478904894,0.6521355954630245,0.634318109779548
26,2.61,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.535559735680715,0.6451971800100872,0.5578430080862817,0.5847537238301304,0.6069554249746331
27,2.71,10.0,10.0,0.085,0.0,1.0,1.0,1.0,0.5426666592356384,0.6022909334080323,0.5352542735482378,0.6100780294750028,0.6307429562793428
